sessionId,source,target
1,1,2
1,1,3
1,1,6
1,1,17
1,1,20
1,1,21
1,2,3
1,2,4
1,2,20
1,2,21
1,2,22
1,3,4
1,3,5
1,3,21
1,4,5
1,6,8
1,6,10
1,6,17
1,16,19
1,18,20
1,19,21
1,20,23
1,21,24
1,22,23
1,22,24
2,1,2
2,1,3
2,1,4
2,1,5
2,1,6
2,1,7
2,1,8
2,1,10
2,2,3
2,2,4
2,2,5
2,2,6
2,2,7
2,2,8
2,2,9
2,3,4
2,3,5
2,3,6
2,3,7
2,3,8
2,3,12
2,4,5
2,4,7
2,4,9
2,4,12
2,5,12
2,6,7
2,6,8
2,6,10
2,6,11
2,6,13
2,7,9
2,7,11
2,8,10
2,8,13
2,9,11
2,9,14
2,15,18
2,18,20
2,18,23
2,19,21
2,19,24
2,20,23
2,21,22
2,21,24
2,22,23
2,22,24
2,23,24
3,1,2
3,1,3
3,1,4
3,1,5
3,1,18
3,2,4
3,2,18
3,3,4
3,3,5
3,3,6
3,4,5
3,6,19
3,6,21
3,7,11
3,8,10
3,13,15
3,14,16
3,15,18
3,16,19
3,18,20
3,19,21
3,20,23
3,21,24
3,22,23
3,22,24
4,1,2
4,1,3
4,1,6
4,1,17
4,1,21
4,1,24
4,2,3
4,2,4
4,2,6
4,2,7
4,2,17
4,2,21
4,2,24
4,3,4
4,3,5
4,3,6
4,3,19
4,3,21
4,3,24
4,4,5
4,4,21
4,6,19
4,6,21
4,6,24
4,7,18
4,7,20
4,8,10
4,14,16
4,15,18
4,16,19
4,17,19
4,17,21
4,17,24
4,18,20
4,18,23
4,19,21
4,19,24
4,20,22
4,20,23
4,21,22
4,21,24
4,22,23
4,22,24
4,23,24
5,1,2
5,1,3
5,1,4
5,1,7
5,1,17
5,2,4
5,2,7
5,2,17
5,2,18
5,3,4
5,3,5
5,4,5
5,6,10
5,7,17
5,7,18
5,8,10
5,15,18
5,21,24
5,22,23
5,22,24
6,1,2
6,1,3
6,1,4
6,1,5
6,1,6
6,1,7
6,1,8
6,1,10
6,2,3
6,2,4
6,2,6
6,2,7
6,2,8
6,2,10
6,3,4
6,3,5
6,3,6
6,3,8
6,4,5
6,4,6
6,4,7
6,4,10
6,5,12
6,6,7
6,6,8
6,6,10
6,7,9
6,7,10
6,7,11
6,8,10
6,8,13
6,9,11
6,9,14
6,13,15
6,14,16
6,15,18
6,19,21
6,21,24
6,22,23
6,22,24
6,23,24
7,1,2
7,1,3
7,1,4
7,1,6
7,1,7
7,1,17
7,1,18
7,1,19
7,1,20
7,1,21
7,1,22
7,1,23
7,1,24
7,2,3
7,2,4
7,2,18
7,2,19
7,2,20
7,2,21
7,2,22
7,2,23
7,2,24
7,3,4
7,3,7
7,3,18
7,3,19
7,3,20
7,3,21
7,3,22
7,3,23
7,3,24
7,4,5
7,4,20
7,4,23
7,4,24
7,6,17
7,6,19
7,7,9
7,7,18
7,7,20
7,9,11
7,9,15
7,9,18
7,15,18
7,17,19
7,18,20
7,18,23
7,19,21
7,19,22
7,19,23
7,19,24
7,20,22
7,20,23
7,20,24
7,21,22
7,21,23
7,21,24
7,22,23
7,22,24
7,23,24
8,1,2
8,1,7
8,1,17
8,3,4
8,3,5
8,3,21
8,3,23
8,4,5
8,4,23
8,6,10
8,7,18
8,7,20
8,15,18
8,16,19
8,18,20
8,19,21
8,20,23
8,21,24
8,22,23
8,22,24
9,1,2
9,1,3
9,1,4
9,1,5
9,1,6
9,1,7
9,1,17
9,1,18
9,1,19
9,1,20
9,1,21
9,1,22
9,1,24
9,2,3
9,2,4
9,2,5
9,2,6
9,2,7
9,2,17
9,2,18
9,2,19
9,2,20
9,2,21
9,3,4
9,3,5
9,3,6
9,3,19
9,3,20
9,3,21
9,3,22
9,3,24
9,4,5
9,4,6
9,4,7
9,4,18
9,4,20
9,4,21
9,4,22
9,4,24
9,5,21
9,5,22
9,5,23
9,5,24
9,6,7
9,6,17
9,6,19
9,6,21
9,7,17
9,7,18
9,7,20
9,7,21
9,9,11
9,15,18
9,16,19
9,18,20
9,19,21
9,20,22
9,20,23
9,21,22
9,21,24
9,22,23
9,22,24
9,23,24
10,1,2
10,1,3
10,1,4
10,1,5
10,1,6
10,1,7
10,1,9
10,2,3
10,2,4
10,2,7
10,2,9
10,3,4
10,3,5
10,3,6
10,3,8
10,3,9
10,4,5
10,4,7
10,4,9
10,6,7
10,6,8
10,6,9
10,7,9
10,7,11
10,8,10
10,8,13
10,9,11
