sessionId,source,target
361,1,2
361,1,3
361,1,20
361,3,4
361,3,20
361,3,23
361,4,20
361,20,23
361,22,23
361,22,24
361,23,24
362,1,2
362,1,3
362,1,4
362,1,6
362,1,7
362,1,8
362,1,10
362,2,3
362,2,4
362,2,7
362,3,4
362,4,5
362,4,7
362,5,12
362,6,7
362,6,8
362,6,10
362,6,11
362,7,9
362,7,11
362,8,10
362,8,13
362,9,11
362,18,20
362,19,21
362,19,22
362,19,24
362,20,22
362,20,23
362,21,22
362,21,24
362,22,24
363,1,2
363,1,3
363,1,4
363,1,5
363,1,6
363,1,20
363,1,21
363,1,22
363,1,23
363,1,24
363,2,3
363,2,4
363,2,6
363,2,18
363,2,20
363,2,21
363,2,22
363,2,23
363,2,24
363,3,4
363,3,5
363,3,6
363,3,21
363,3,24
363,4,5
363,4,6
363,4,20
363,4,21
363,4,22
363,4,23
363,4,24
363,5,24
363,6,19
363,6,20
363,6,21
363,6,24
363,7,9
363,7,11
363,18,20
363,18,23
363,19,21
363,20,21
363,20,22
363,20,23
363,20,24
363,21,22
363,21,24
363,22,23
363,22,24
363,23,24
364,1,2
364,1,3
364,1,6
364,1,7
364,1,15
364,1,17
364,1,18
364,1,19
364,1,21
364,1,24
364,2,3
364,2,4
364,2,6
364,2,7
364,2,15
364,2,17
364,2,18
364,2,19
364,2,21
364,2,24
364,3,4
364,3,5
364,3,6
364,3,17
364,3,18
364,3,19
364,3,20
364,3,21
364,3,22
364,3,23
364,3,24
364,4,5
364,4,18
364,4,19
364,4,20
364,4,21
364,4,22
364,4,23
364,4,24
364,5,20
364,5,22
364,5,23
364,6,7
364,6,10
364,6,17
364,6,19
364,6,21
364,6,24
364,7,15
364,7,17
364,7,18
364,7,19
364,7,20
364,7,21
364,7,24
364,8,10
364,15,17
364,15,18
364,16,19
364,17,18
364,17,19
364,17,21
364,17,24
364,18,19
364,18,20
364,18,21
364,18,22
364,18,23
364,18,24
364,19,21
364,19,24
364,20,21
364,20,22
364,20,23
364,20,24
364,21,22
364,21,23
364,21,24
364,22,23
364,22,24
364,23,24
365,1,2
365,2,4
365,2,7
365,2,17
365,6,8
365,6,10
365,7,11
365,8,10
366,1,2
366,1,4
366,1,7
366,1,8
366,1,10
366,2,4
366,2,7
366,2,8
366,2,10
366,4,7
366,4,8
366,4,10
366,6,8
366,6,10
366,7,9
366,7,10
366,7,11
366,8,10
366,8,13
366,9,11
366,10,13
366,13,15
366,22,23
366,22,24
366,23,24
367,1,2
367,1,3
367,1,4
367,1,6
367,1,7
367,1,9
367,1,17
367,1,18
367,1,19
367,1,20
367,1,21
367,1,22
367,1,23
367,1,24
367,2,3
367,2,4
367,2,9
367,2,17
367,2,18
367,2,19
367,2,20
367,2,21
367,2,22
367,2,23
367,2,24
367,3,4
367,3,5
367,3,6
367,3,7
367,3,9
367,3,17
367,3,18
367,3,19
367,3,20
367,3,21
367,3,22
367,3,23
367,3,24
367,4,5
367,4,7
367,4,9
367,4,18
367,4,19
367,4,20
367,4,21
367,4,22
367,4,23
367,4,24
367,5,20
367,5,23
367,5,24
367,6,8
367,6,17
367,6,19
367,6,21
367,6,23
367,7,9
367,7,18
367,7,20
367,8,10
367,8,19
367,9,11
367,9,18
367,9,20
367,9,23
367,9,24
367,15,18
367,17,19
367,18,20
367,18,23
367,19,20
367,19,21
367,19,22
367,19,23
367,19,24
367,20,21
367,20,22
367,20,23
367,20,24
367,21,22
367,21,23
367,21,24
367,22,23
367,22,24
367,23,24
368,1,2
368,1,3
368,1,4
368,1,6
368,1,7
368,1,17
368,1,18
368,1,19
368,1,20
368,1,21
368,2,4
368,2,7
368,2,17
368,2,18
368,2,20
368,2,21
368,3,4
368,3,5
368,3,7
368,3,9
368,3,17
368,3,18
368,3,19
368,3,20
368,3,21
368,3,22
368,3,23
368,3,24
368,4,5
368,4,7
368,4,9
368,4,18
368,4,20
368,4,21
368,4,22
368,4,23
368,4,24
368,5,20
368,5,22
368,5,23
368,5,24
368,6,8
368,6,10
368,6,17
368,6,19
368,7,11
368,7,17
368,7,18
368,7,20
368,7,21
368,8,10
368,8,19
368,9,20
368,9,23
368,15,18
368,17,18
368,17,19
368,18,20
368,19,21
368,20,22
368,20,23
368,20,24
368,21,22
368,21,23
368,21,24
368,22,23
368,22,24
368,23,24
369,1,2
369,1,3
369,1,5
369,1,6
369,1,7
369,1,16
369,1,18
369,1,20
369,1,21
369,2,3
369,2,7
369,2,18
369,2,20
369,2,21
369,3,5
369,3,6
369,3,20
369,3,21
369,3,22
369,3,24
369,4,18
369,4,21
369,4,24
369,5,24
369,6,7
369,6,19
369,7,17
369,7,18
369,7,20
369,7,21
369,15,18
369,18,20
369,20,21
369,20,22
369,21,22
369,21,24
369,22,24
369,23,24
370,1,2
370,1,3
370,1,5
370,1,6
370,1,7
370,1,9
370,2,3
370,2,4
370,2,7
370,2,9
370,3,4
370,3,5
370,3,6
370,3,7
370,3,8
370,3,9
370,4,7
370,4,9
370,5,8
370,5,12
370,6,7
370,6,8
370,6,9
370,7,8
370,7,9
370,8,9
370,8,13
370,17,18
370,17,20
370,17,21
370,18,20
370,19,21
370,19,24
370,20,21
370,20,22
370,20,23
370,20,24
370,21,22
370,21,24
370,22,23
370,22,24
370,23,24
371,1,2
371,1,3
371,3,4
371,3,5
371,6,10
371,7,11
371,22,23
372,1,2
372,1,3
372,2,3
372,2,4
372,2,5
372,2,21
372,3,4
372,3,5
372,3,21
372,4,5
372,4,20
372,4,21
372,4,22
372,5,22
372,5,23
372,5,24
372,6,8
372,6,10
372,6,17
372,6,19
372,7,11
372,8,10
372,16,19
372,18,20
372,19,21
372,21,22
372,21,24
372,22,23
372,22,24
372,23,24
373,1,2
373,1,3
373,1,4
373,1,18
373,1,19
373,1,20
373,1,21
373,1,22
373,1,23
373,1,24
373,2,4
373,2,20
373,2,21
